Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
Pocillopora_meandrina_HIv1___Sc0000000:11887649-11888900	Cluster_265	N	706	20	512	1593	16
Pocillopora_meandrina_HIv1___Sc0000000:11894483-11895204	Cluster_266	N	56	153	512	952	46
Pocillopora_meandrina_HIv1___Sc0000000:11895337-11896747	Cluster_267	N	282	514	991	539	244
Pocillopora_meandrina_HIv1___Sc0000000:11896755-11897212	Cluster_268	N	86	19	41	183	94
Pocillopora_meandrina_HIv1___Sc0000000:11897487-11898269	Cluster_269	N	80	43	54	297	214
Pocillopora_meandrina_HIv1___Sc0000000:11902264-11902850	Cluster_270	N	207	353	688	10	154
Pocillopora_meandrina_HIv1___Sc0000000:12107675-12108090	Cluster_271	N	57	2	79	67	7
Pocillopora_meandrina_HIv1___Sc0000000:12448980-12450060	Cluster_272	N	814	174	204	429	96
Pocillopora_meandrina_HIv1___Sc0000000:12682298-12682725	Cluster_273	N	97	48	25	10	4
Pocillopora_meandrina_HIv1___Sc0000000:12684025-12684439	Cluster_274	N	23	6	2	50	0
Pocillopora_meandrina_HIv1___Sc0000000:12687759-12688641	Cluster_275	N	101	74	155	164	48
Pocillopora_meandrina_HIv1___Sc0000000:12688689-12689097	Cluster_276	N	48	13	19	26	12
Pocillopora_meandrina_HIv1___Sc0000000:12691009-12691558	Cluster_277	N	98	43	34	253	37
Pocillopora_meandrina_HIv1___Sc0000000:12777775-12778197	Cluster_278	N	3	15	121	23	1
Pocillopora_meandrina_HIv1___Sc0000000:12951425-12951935	Cluster_279	N	12	4	458	231	7
Pocillopora_meandrina_HIv1___Sc0000000:13015507-13015928	Cluster_280	N	2	2	35	26	18
Pocillopora_meandrina_HIv1___Sc0000000:13269363-13269787	Cluster_281	N	9	13	26	81	6
Pocillopora_meandrina_HIv1___Sc0000000:13278878-13279297	Cluster_282	N	1	254	0	2	0
Pocillopora_meandrina_HIv1___Sc0000000:13335663-13336113	Cluster_283	N	5	49	33	240	202
Pocillopora_meandrina_HIv1___Sc0000000:13337548-13338139	Cluster_284	N	33	79	45	124	192
Pocillopora_meandrina_HIv1___Sc0000000:13607264-13607690	Cluster_285	N	0	212	0	0	0
Pocillopora_meandrina_HIv1___Sc0000000:13714447-13714873	Cluster_286	N	3	2	472	0	0
Pocillopora_meandrina_HIv1___Sc0000000:13752128-13752978	Cluster_287	N	320	327	514	380	8
Pocillopora_meandrina_HIv1___Sc0000000:13753534-13755105	Cluster_288	N	507	287	747	615	30
Pocillopora_meandrina_HIv1___Sc0000000:13777450-13777875	Cluster_289	N	0	27	220	1	1
Pocillopora_meandrina_HIv1___Sc0000000:13793624-13794060	Cluster_290	N	215	56	117	54	66
Pocillopora_meandrina_HIv1___Sc0000000:13795205-13795634	Cluster_291	N	94	1	1	2216	95
Pocillopora_meandrina_HIv1___Sc0000000:13888862-13889287	Cluster_292	N	2	14	2	51	34
Pocillopora_meandrina_HIv1___Sc0000000:14041246-14042282	Cluster_293	N	980	347	733	46	134
Pocillopora_meandrina_HIv1___Sc0000000:14042286-14043154	Cluster_294	N	177	57	207	47	15
Pocillopora_meandrina_HIv1___Sc0000000:14043355-14045670	Cluster_295	N	1058	413	2365	440	154
Pocillopora_meandrina_HIv1___Sc0000000:14199236-14199664	Cluster_296	N	0	2	290	0	4
Pocillopora_meandrina_HIv1___Sc0000000:14564110-14564538	Cluster_297	N	0	2	288	0	2
Pocillopora_meandrina_HIv1___Sc0000000:14751024-14751454	Cluster_298	N	16	75	1	204	0
Pocillopora_meandrina_HIv1___Sc0000000:14751993-14752696	Cluster_299	N	105	64	67	51	20
Pocillopora_meandrina_HIv1___Sc0000000:14753926-14754355	Cluster_300	N	111	35	15	75	6
Pocillopora_meandrina_HIv1___Sc0000000:14857660-14858065	Cluster_301	N	37	8	51	1	12
Pocillopora_meandrina_HIv1___Sc0000000:14917726-14918158	Cluster_302	N	6	48	3	4	154
Pocillopora_meandrina_HIv1___Sc0000000:14918517-14918921	Cluster_303	N	26	45	100	49	5
Pocillopora_meandrina_HIv1___Sc0000000:15297104-15297532	Cluster_304	N	65	36	14	32	12
Pocillopora_meandrina_HIv1___Sc0000000:15361997-15362422	Cluster_305	N	48	80	52	62	65
Pocillopora_meandrina_HIv1___Sc0000000:15365853-15366280	Cluster_306	N	27	30	21	23	57
Pocillopora_meandrina_HIv1___Sc0000000:15682027-15682444	Cluster_307	N	7	0	155	35	0
Pocillopora_meandrina_HIv1___Sc0000000:15838639-15839444	Cluster_308	N	668	2	554	2	2
Pocillopora_meandrina_HIv1___Sc0000000:15877485-15877912	Cluster_309	N	0	1	78	0	0
Pocillopora_meandrina_HIv1___Sc0000000:16151379-16151857	Cluster_310	N	19	55	26	57	211
Pocillopora_meandrina_HIv1___Sc0000000:16197870-16198683	Cluster_311	N	3523	4898	4821	2509	1428
Pocillopora_meandrina_HIv1___Sc0000000:16218376-16218794	Cluster_312	N	3	71	188	268	921
Pocillopora_meandrina_HIv1___Sc0000000:16370090-16370520	Cluster_313	N	468	216	305	710	93
Pocillopora_meandrina_HIv1___Sc0000000:16388395-16388993	Cluster_314	N	204	394	734	159	427
Pocillopora_meandrina_HIv1___Sc0000000:16449057-16449477	Cluster_315	N	25	28	37	18	17
Pocillopora_meandrina_HIv1___Sc0000000:16450615-16451050	Cluster_316	N	63	50	81	101	27
Pocillopora_meandrina_HIv1___Sc0000000:16480304-16481760	Cluster_317	N	860	192	203	970	669
Pocillopora_meandrina_HIv1___Sc0000000:16481861-16483301	Cluster_318	N	4842	89	2196	363	256
Pocillopora_meandrina_HIv1___Sc0000000:16918087-16918514	Cluster_319	N	12	40	28	29	95
Pocillopora_meandrina_HIv1___Sc0000000:17062895-17064293	Cluster_320	N	810	53	68	516	36
Pocillopora_meandrina_HIv1___Sc0000000:17091980-17092398	Cluster_321	N	12	4	100	73	1
Pocillopora_meandrina_HIv1___Sc0000000:17582770-17583201	Cluster_322	N	375	8	0	95	18
Pocillopora_meandrina_HIv1___Sc0000000:17858000-17858429	Cluster_323	N	16	8	98	61	8
Pocillopora_meandrina_HIv1___Sc0000000:17927790-17928217	Cluster_324	N	24	53	15	24	0
Pocillopora_meandrina_HIv1___Sc0000000:18139302-18139735	Cluster_325	N	190	10	4	56	2
Pocillopora_meandrina_HIv1___Sc0000000:18348364-18348791	Cluster_326	N	10	19	25	82	6
Pocillopora_meandrina_HIv1___Sc0000000:18537549-18537976	Cluster_327	N	1	0	76	4	1
Pocillopora_meandrina_HIv1___Sc0000000:18555063-18555627	Cluster_328	N	94	142	216	244	35
Pocillopora_meandrina_HIv1___Sc0000000:18562798-18563567	Cluster_329	N	178	45	56	209	282
Pocillopora_meandrina_HIv1___Sc0000000:18563591-18564819	Cluster_330	N	597	75	168	418	118
Pocillopora_meandrina_HIv1___Sc0000000:18585347-18586585	Cluster_331	N	74	95	126	944	68
Pocillopora_meandrina_HIv1___Sc0000000:18586632-18588144	Cluster_332	N	245	230	385	376	96
Pocillopora_meandrina_HIv1___Sc0000000:18589062-18589489	Cluster_333	N	2	1	4	353	3
Pocillopora_meandrina_HIv1___Sc0000000:19104877-19105303	Cluster_334	N	61	2	62	54	17
Pocillopora_meandrina_HIv1___Sc0000000:19105541-19106198	Cluster_335	N	385	61	231	208	150
Pocillopora_meandrina_HIv1___Sc0000000:19106418-19107073	Cluster_336	N	71	139	86	202	56
Pocillopora_meandrina_HIv1___Sc0000000:19107226-19107870	Cluster_337	N	119	28	29	153	184
Pocillopora_meandrina_HIv1___Sc0000000:19172835-19173255	Cluster_338	N	43	5	13	22	40
Pocillopora_meandrina_HIv1___Sc0000000:19548876-19549664	Cluster_339	N	18	584	1643	1355	164
Pocillopora_meandrina_HIv1___Sc0000000:19550612-19551039	Cluster_340	N	93	1	2	0	108
Pocillopora_meandrina_HIv1___Sc0000000:19551966-19552391	Cluster_341	N	110	4	21	0	0
Pocillopora_meandrina_HIv1___Sc0000000:19670489-19670916	Cluster_342	N	1	95	13	3	1
Pocillopora_meandrina_HIv1___Sc0000000:19726197-19726623	Cluster_343	N	0	2	180	4	6
Pocillopora_meandrina_HIv1___Sc0000000:19758301-19758726	Cluster_344	N	2	30	1	0	131
Pocillopora_meandrina_HIv1___Sc0000000:19791285-19791992	Cluster_345	N	94	134	189	81	119
Pocillopora_meandrina_HIv1___Sc0000000:19799557-19800086	Cluster_346	N	133	564	310	809	1185
Pocillopora_meandrina_HIv1___Sc0000000:19800614-19801084	Cluster_347	N	233	666	374	927	292
Pocillopora_meandrina_HIv1___Sc0000000:19802252-19802723	Cluster_348	N	122	278	221	367	511
Pocillopora_meandrina_HIv1___Sc0000000:19809696-19810174	Cluster_349	N	90	105	111	87	187
Pocillopora_meandrina_HIv1___Sc0000000:19813053-19813480	Cluster_350	N	24	33	15	72	211
Pocillopora_meandrina_HIv1___Sc0000000:19813596-19814046	Cluster_351	N	25	32	12	69	97
Pocillopora_meandrina_HIv1___Sc0000000:19856455-19856872	Cluster_352	N	27	40	25	45	12
Pocillopora_meandrina_HIv1___Sc0000000:19934098-19934520	Cluster_353	N	1109	11	3627	1955	17
Pocillopora_meandrina_HIv1___Sc0000000:19970946-19971368	Cluster_354	N	17	53	31	46	30
Pocillopora_meandrina_HIv1___Sc0000000:19971632-19972106	Cluster_355	N	1788	3027	1581	3984	5500
Pocillopora_meandrina_HIv1___Sc0000000:19974441-19974974	Cluster_356	N	38	73	52	121	348
Pocillopora_meandrina_HIv1___Sc0000000:19977738-19978273	Cluster_357	N	84	150	133	288	327
Pocillopora_meandrina_HIv1___Sc0000000:20051814-20052242	Cluster_358	N	18	1	214	36	10
Pocillopora_meandrina_HIv1___Sc0000000:20238800-20239217	Cluster_359	N	148	61	5	125	27
Pocillopora_meandrina_HIv1___Sc0000000:20372416-20372510	Cluster_360	Y	142599	101636	141199	84760	52034
Pocillopora_meandrina_HIv1___Sc0000000:20455492-20455956	Cluster_361	N	94	133	25	2	112
Pocillopora_meandrina_HIv1___Sc0000000:20487173-20487823	Cluster_362	N	373	237	219	427	934
Pocillopora_meandrina_HIv1___Sc0000000:20534016-20535106	Cluster_363	N	1215	580	973	1086	66
Pocillopora_meandrina_HIv1___Sc0000000:20554498-20554926	Cluster_364	N	94	29	76	50	106
Pocillopora_meandrina_HIv1___Sc0000000:20557163-20557593	Cluster_365	N	341	1701	904	4	2240
Pocillopora_meandrina_HIv1___Sc0000000:20559748-20560165	Cluster_366	N	7	25	7	38	264
Pocillopora_meandrina_HIv1___Sc0000000:20665499-20665929	Cluster_367	N	351	2	2	0	3
Pocillopora_meandrina_HIv1___Sc0000000:20681229-20681643	Cluster_368	N	14	39	14	29	51
Pocillopora_meandrina_HIv1___Sc0000000:20703269-20703749	Cluster_369	N	444	628	42	718	1090
Pocillopora_meandrina_HIv1___Sc0000000:21034486-21034968	Cluster_370	N	10	759	395	6	176
Pocillopora_meandrina_HIv1___Sc0000000:21157049-21157467	Cluster_371	N	65	5	2	1	3
Pocillopora_meandrina_HIv1___Sc0000000:21409875-21410303	Cluster_372	N	220	19	72	110	41
Pocillopora_meandrina_HIv1___Sc0000000:21554835-21555299	Cluster_373	N	176	81	22	1	0
Pocillopora_meandrina_HIv1___Sc0000001:69798-71462	Cluster_374	N	3331	3325	3877	3895	377
Pocillopora_meandrina_HIv1___Sc0000001:244651-245089	Cluster_375	N	106	122	99	186	92
Pocillopora_meandrina_HIv1___Sc0000001:411937-413609	Cluster_376	N	684	392	398	347	234
Pocillopora_meandrina_HIv1___Sc0000001:425543-426000	Cluster_377	N	426	0	0	10	3
Pocillopora_meandrina_HIv1___Sc0000001:556066-556476	Cluster_378	N	4	28	8	77	92
Pocillopora_meandrina_HIv1___Sc0000001:818096-818532	Cluster_379	N	88	56	141	132	1
Pocillopora_meandrina_HIv1___Sc0000001:868705-869126	Cluster_380	N	13	63	11	76	133
Pocillopora_meandrina_HIv1___Sc0000001:891761-892187	Cluster_381	N	0	28	0	0	135
Pocillopora_meandrina_HIv1___Sc0000001:911186-911649	Cluster_382	N	7	8	264	178	1
Pocillopora_meandrina_HIv1___Sc0000001:912096-912578	Cluster_383	N	1	36	13	231	0
Pocillopora_meandrina_HIv1___Sc0000001:914054-914481	Cluster_384	N	14	18	0	118	9
Pocillopora_meandrina_HIv1___Sc0000001:917426-917858	Cluster_385	N	18	17	134	132	10
Pocillopora_meandrina_HIv1___Sc0000001:968471-969355	Cluster_386	N	11	138	1053	545	110
Pocillopora_meandrina_HIv1___Sc0000001:974682-975142	Cluster_387	N	666	287	712	320	134
Pocillopora_meandrina_HIv1___Sc0000001:1051944-1052372	Cluster_388	N	12	22	64	25	3
Pocillopora_meandrina_HIv1___Sc0000001:1354658-1355144	Cluster_389	N	328	373	630	1058	1063
Pocillopora_meandrina_HIv1___Sc0000001:1459402-1459496	Cluster_390	Y	741	614	748	876	353
Pocillopora_meandrina_HIv1___Sc0000001:1587809-1588302	Cluster_391	N	213	15	42	16	1
Pocillopora_meandrina_HIv1___Sc0000001:1588893-1589313	Cluster_392	N	31	27	30	53	5
Pocillopora_meandrina_HIv1___Sc0000001:1589397-1589801	Cluster_393	N	39	12	5	43	8
Pocillopora_meandrina_HIv1___Sc0000001:1590307-1590710	Cluster_394	N	43	27	19	40	4
Pocillopora_meandrina_HIv1___Sc0000001:1606008-1606599	Cluster_395	N	29	6	77	303	18
Pocillopora_meandrina_HIv1___Sc0000001:1639234-1639676	Cluster_396	N	0	4	1	199	0
Pocillopora_meandrina_HIv1___Sc0000001:1689513-1689966	Cluster_397	N	7	37	14	163	97
Pocillopora_meandrina_HIv1___Sc0000001:1690274-1690785	Cluster_398	N	2	22	15	280	89
Pocillopora_meandrina_HIv1___Sc0000001:1691388-1691808	Cluster_399	N	1	1	9	158	43
Pocillopora_meandrina_HIv1___Sc0000001:1692256-1693066	Cluster_400	N	20	44	27	596	273
Pocillopora_meandrina_HIv1___Sc0000001:1723121-1723549	Cluster_401	N	4	26	320	20	1
Pocillopora_meandrina_HIv1___Sc0000001:1981097-1981526	Cluster_402	N	46	4	47	4	15
Pocillopora_meandrina_HIv1___Sc0000001:2046484-2047577	Cluster_403	N	294	45	362	94	73
Pocillopora_meandrina_HIv1___Sc0000001:2049667-2051838	Cluster_404	N	846	96	854	456	144
Pocillopora_meandrina_HIv1___Sc0000001:2051958-2052443	Cluster_405	N	116	19	134	56	36
Pocillopora_meandrina_HIv1___Sc0000001:2111236-2111657	Cluster_406	N	9	8	7	49	3
Pocillopora_meandrina_HIv1___Sc0000001:2233397-2233818	Cluster_407	N	79	0	21	2	2
Pocillopora_meandrina_HIv1___Sc0000001:2235738-2236162	Cluster_408	N	1	37	7	95	0
Pocillopora_meandrina_HIv1___Sc0000001:2237617-2238340	Cluster_409	N	976	559	855	378	405
Pocillopora_meandrina_HIv1___Sc0000001:2243709-2244293	Cluster_410	N	2241	10	223	9	44
Pocillopora_meandrina_HIv1___Sc0000001:2254606-2255281	Cluster_411	N	136	12	14	42	10
Pocillopora_meandrina_HIv1___Sc0000001:2275231-2275660	Cluster_412	N	57	0	2	386	17
Pocillopora_meandrina_HIv1___Sc0000001:2276928-2277360	Cluster_413	N	175	49	1	165	1
Pocillopora_meandrina_HIv1___Sc0000001:2285037-2285666	Cluster_414	N	101	201	0	543	108
Pocillopora_meandrina_HIv1___Sc0000001:2286291-2287142	Cluster_415	N	983	57	2	203	44
Pocillopora_meandrina_HIv1___Sc0000001:2288505-2288931	Cluster_416	N	13	95	1	53	69
Pocillopora_meandrina_HIv1___Sc0000001:2289108-2289522	Cluster_417	N	3	33	3	51	23
Pocillopora_meandrina_HIv1___Sc0000001:2289525-2289963	Cluster_418	N	1	141	0	92	76
Pocillopora_meandrina_HIv1___Sc0000001:2290080-2290503	Cluster_419	N	107	2	8	13	0
Pocillopora_meandrina_HIv1___Sc0000001:2303037-2303468	Cluster_420	N	171	153	176	45	7
Pocillopora_meandrina_HIv1___Sc0000001:2324994-2325422	Cluster_421	N	0	55	16	130	3
Pocillopora_meandrina_HIv1___Sc0000001:2327372-2327799	Cluster_422	N	45	8	0	73	2
Pocillopora_meandrina_HIv1___Sc0000001:2328890-2329314	Cluster_423	N	142	2	10	8	0
Pocillopora_meandrina_HIv1___Sc0000001:2348008-2348432	Cluster_424	N	1	9	1	69	0
Pocillopora_meandrina_HIv1___Sc0000001:2368290-2368717	Cluster_425	N	80	9	10	0	0
Pocillopora_meandrina_HIv1___Sc0000001:2487165-2487774	Cluster_426	N	24	95	16	49	84
Pocillopora_meandrina_HIv1___Sc0000001:2537226-2537644	Cluster_427	N	20	52	25	83	82
Pocillopora_meandrina_HIv1___Sc0000001:2731349-2731771	Cluster_428	N	50	56	32	28	45
Pocillopora_meandrina_HIv1___Sc0000001:2746252-2746672	Cluster_429	N	88	96	68	40	34
Pocillopora_meandrina_HIv1___Sc0000001:2774475-2774897	Cluster_430	N	158	53	82	41	36
Pocillopora_meandrina_HIv1___Sc0000001:2801084-2801513	Cluster_431	N	168	0	6	0	2
Pocillopora_meandrina_HIv1___Sc0000001:2839574-2840246	Cluster_432	N	291	18	84	22	10
Pocillopora_meandrina_HIv1___Sc0000001:2842056-2842485	Cluster_433	N	165	0	6	0	0
Pocillopora_meandrina_HIv1___Sc0000001:2858484-2858998	Cluster_434	N	131	8	25	15	35
Pocillopora_meandrina_HIv1___Sc0000001:2862246-2862675	Cluster_435	N	504	0	29	10	30
Pocillopora_meandrina_HIv1___Sc0000001:2868049-2868506	Cluster_436	N	132	81	266	125	33
Pocillopora_meandrina_HIv1___Sc0000001:2881477-2881912	Cluster_437	N	85	25	3	134	45
Pocillopora_meandrina_HIv1___Sc0000001:2893037-2893449	Cluster_438	N	49	3	5	14	3
Pocillopora_meandrina_HIv1___Sc0000001:2903040-2903512	Cluster_439	N	124	30	96	44	13
Pocillopora_meandrina_HIv1___Sc0000001:2905338-2905767	Cluster_440	N	256	1	0	2	0
Pocillopora_meandrina_HIv1___Sc0000001:2983017-2983446	Cluster_441	N	43	0	34	22	27
Pocillopora_meandrina_HIv1___Sc0000001:3114844-3115375	Cluster_442	N	175	201	128	531	689
Pocillopora_meandrina_HIv1___Sc0000001:3115989-3116533	Cluster_443	N	60	102	62	91	131
Pocillopora_meandrina_HIv1___Sc0000001:3380068-3380495	Cluster_444	N	1	104	0	1	12
Pocillopora_meandrina_HIv1___Sc0000001:3434617-3435033	Cluster_445	N	134	2	34	4	1
Pocillopora_meandrina_HIv1___Sc0000001:3536699-3537118	Cluster_446	N	4	57	6	19	7
Pocillopora_meandrina_HIv1___Sc0000001:3656409-3656832	Cluster_447	N	9	9	27	40	13
Pocillopora_meandrina_HIv1___Sc0000001:3883545-3883976	Cluster_448	N	10	42	17	79	104
Pocillopora_meandrina_HIv1___Sc0000001:3998764-3999467	Cluster_449	N	192760	242247	72796	225614	357010
Pocillopora_meandrina_HIv1___Sc0000001:4021711-4022206	Cluster_450	N	343	340	193	1380	348
Pocillopora_meandrina_HIv1___Sc0000001:4023280-4023700	Cluster_451	N	0	11	1	2	68
Pocillopora_meandrina_HIv1___Sc0000001:4053472-4054172	Cluster_452	N	3125	5007	4573	16434	41262
Pocillopora_meandrina_HIv1___Sc0000001:4062957-4063380	Cluster_453	N	45	4	72	48	17
Pocillopora_meandrina_HIv1___Sc0000001:4063621-4064324	Cluster_454	N	2349	52	225	2892	154
Pocillopora_meandrina_HIv1___Sc0000001:4064498-4065026	Cluster_455	N	31	89	168	303	55
Pocillopora_meandrina_HIv1___Sc0000001:4118827-4119300	Cluster_456	N	118	87	87	198	125
Pocillopora_meandrina_HIv1___Sc0000001:4229586-4230014	Cluster_457	N	19	24	11	222	124
Pocillopora_meandrina_HIv1___Sc0000001:4298315-4298771	Cluster_458	N	294	854	1249	1589	4246
Pocillopora_meandrina_HIv1___Sc0000001:4313479-4313894	Cluster_459	N	5	10	40	20	84
Pocillopora_meandrina_HIv1___Sc0000001:4315116-4315571	Cluster_460	N	14	13	50	82	90
Pocillopora_meandrina_HIv1___Sc0000001:4316894-4317370	Cluster_461	N	17	28	41	65	116
Pocillopora_meandrina_HIv1___Sc0000001:4317598-4318009	Cluster_462	N	10	13	29	31	73
Pocillopora_meandrina_HIv1___Sc0000001:4345267-4345695	Cluster_463	N	0	0	131	0	0
Pocillopora_meandrina_HIv1___Sc0000001:4361258-4364034	Cluster_464	N	4616	1110	1307	20	777
Pocillopora_meandrina_HIv1___Sc0000001:4364284-4365035	Cluster_465	N	4	108	279	719	16
Pocillopora_meandrina_HIv1___Sc0000001:4428344-4428761	Cluster_466	N	3	4	80	14	20
Pocillopora_meandrina_HIv1___Sc0000001:4479090-4480901	Cluster_467	N	807	276	814	806	405
Pocillopora_meandrina_HIv1___Sc0000001:4480953-4482488	Cluster_468	N	1322	87	570	405	254
Pocillopora_meandrina_HIv1___Sc0000001:4482873-4485193	Cluster_469	N	1142	217	1027	566	524
Pocillopora_meandrina_HIv1___Sc0000001:4593126-4593549	Cluster_470	N	38	22	33	23	21
Pocillopora_meandrina_HIv1___Sc0000001:4744978-4745400	Cluster_471	N	4	0	0	92	1
Pocillopora_meandrina_HIv1___Sc0000001:4872395-4872822	Cluster_472	N	6	31	10	191	16
Pocillopora_meandrina_HIv1___Sc0000001:4872837-4873265	Cluster_473	N	36	86	133	31	0
Pocillopora_meandrina_HIv1___Sc0000001:5026269-5026686	Cluster_474	N	2	26	62	40	1
Pocillopora_meandrina_HIv1___Sc0000001:5036297-5036724	Cluster_475	N	14	2	113	73	10
Pocillopora_meandrina_HIv1___Sc0000001:5073837-5074560	Cluster_476	N	117	143	113	248	71
Pocillopora_meandrina_HIv1___Sc0000001:5093741-5094167	Cluster_477	N	25	78	41	188	36
Pocillopora_meandrina_HIv1___Sc0000001:5134576-5135003	Cluster_478	N	15	8	172	3	2
Pocillopora_meandrina_HIv1___Sc0000001:5144023-5145106	Cluster_479	N	1694	651	1593	612	18
Pocillopora_meandrina_HIv1___Sc0000001:5204084-5204505	Cluster_480	N	3	37	0	47	46
Pocillopora_meandrina_HIv1___Sc0000001:5590662-5591125	Cluster_481	N	800	2674	801	798	3987
Pocillopora_meandrina_HIv1___Sc0000001:5593862-5594279	Cluster_482	N	34	52	0	0	68
Pocillopora_meandrina_HIv1___Sc0000001:5600400-5600827	Cluster_483	N	0	0	0	244	0
Pocillopora_meandrina_HIv1___Sc0000001:5608176-5608632	Cluster_484	N	79	151	94	128	168
Pocillopora_meandrina_HIv1___Sc0000001:5619912-5620331	Cluster_485	N	5	31	8	16	29
Pocillopora_meandrina_HIv1___Sc0000001:5625745-5626172	Cluster_486	N	4	21	15	156	25
Pocillopora_meandrina_HIv1___Sc0000001:5635582-5636009	Cluster_487	N	127	124	48	302	279
Pocillopora_meandrina_HIv1___Sc0000001:5637924-5638351	Cluster_488	N	5	25	16	160	29
Pocillopora_meandrina_HIv1___Sc0000001:5669304-5669731	Cluster_489	N	4	22	13	154	26
Pocillopora_meandrina_HIv1___Sc0000001:5674866-5675293	Cluster_490	N	165	0	1	0	0
Pocillopora_meandrina_HIv1___Sc0000001:5675805-5676222	Cluster_491	N	8	35	1	57	125
Pocillopora_meandrina_HIv1___Sc0000001:5689306-5689774	Cluster_492	N	162	729	796	97	1653
Pocillopora_meandrina_HIv1___Sc0000001:5693899-5694317	Cluster_493	N	142	68	46	79	30
Pocillopora_meandrina_HIv1___Sc0000001:5746163-5746597	Cluster_494	N	460	514	374	203	81
Pocillopora_meandrina_HIv1___Sc0000001:5795956-5796536	Cluster_495	N	37	127	67	140	223
Pocillopora_meandrina_HIv1___Sc0000001:5796550-5797171	Cluster_496	N	25	113	29	64	156
Pocillopora_meandrina_HIv1___Sc0000001:5801163-5801729	Cluster_497	N	19	52	14	100	147
Pocillopora_meandrina_HIv1___Sc0000001:5839178-5839672	Cluster_498	N	307	418	421	129	68
Pocillopora_meandrina_HIv1___Sc0000001:5876251-5876674	Cluster_499	N	107	29	13	86	25
Pocillopora_meandrina_HIv1___Sc0000001:6251647-6253384	Cluster_500	N	619	377	658	536	191
Pocillopora_meandrina_HIv1___Sc0000001:6367471-6367897	Cluster_501	N	0	37	1	0	133
Pocillopora_meandrina_HIv1___Sc0000001:6400836-6401259	Cluster_502	N	10	0	132	23	0
Pocillopora_meandrina_HIv1___Sc0000001:6419212-6419640	Cluster_503	N	236	127	0	31	3
Pocillopora_meandrina_HIv1___Sc0000001:6511512-6512099	Cluster_504	N	23	157	315	33	12
Pocillopora_meandrina_HIv1___Sc0000001:6593781-6594210	Cluster_505	N	56	186	174	373	50
Pocillopora_meandrina_HIv1___Sc0000001:6853842-6854260	Cluster_506	N	48	33	11	31	4
Pocillopora_meandrina_HIv1___Sc0000001:6854403-6854831	Cluster_507	N	1	83	3	14	55
Pocillopora_meandrina_HIv1___Sc0000001:6984277-6984705	Cluster_508	N	1	2	5	139	0
Pocillopora_meandrina_HIv1___Sc0000001:7006571-7007371	Cluster_509	N	602	49	12	13	6
Pocillopora_meandrina_HIv1___Sc0000001:7068691-7069114	Cluster_510	N	69	9	2	45	6
Pocillopora_meandrina_HIv1___Sc0000001:7069393-7070084	Cluster_511	N	318	81	147	271	45
Pocillopora_meandrina_HIv1___Sc0000001:7070254-7071027	Cluster_512	N	195	88	417	70	69
Pocillopora_meandrina_HIv1___Sc0000001:7075985-7076412	Cluster_513	N	94	10	8	5	109
Pocillopora_meandrina_HIv1___Sc0000001:7279602-7280015	Cluster_514	N	2	4	0	19	49
Pocillopora_meandrina_HIv1___Sc0000001:7467089-7467518	Cluster_515	N	242	40	50	46	3
Pocillopora_meandrina_HIv1___Sc0000001:7469649-7470757	Cluster_516	N	1144	185	456	58	160
Pocillopora_meandrina_HIv1___Sc0000001:7472169-7472935	Cluster_517	N	473	385	317	12	32
Pocillopora_meandrina_HIv1___Sc0000001:7487307-7488525	Cluster_518	N	17	2	1272	7	10
Pocillopora_meandrina_HIv1___Sc0000001:7491752-7493304	Cluster_519	N	1336	1106	1726	2417	890
Pocillopora_meandrina_HIv1___Sc0000001:7494151-7495445	Cluster_520	N	215	473	46	1292	442
Pocillopora_meandrina_HIv1___Sc0000001:7498871-7499301	Cluster_521	N	2	1	47	72	4
